operation	requestsize	responsesize	rfpid	service_name	custid	oid	invid	details	customerid	shipid	quoteid	payid	prizeid	catalogref	out	orderstatus	ocancelid	catalog	id
Produce	430	385	R993	Product	Cust197	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	ProductID:R993considered	Nu	Nu	Nu	4042
Produce	430	385	R994	Product	Cust174	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	ProductID:R994considered	Nu	Nu	Nu	4044
Produce	430	385	R995	Product	Cust157	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	ProductID:R995considered	Nu	Nu	Nu	4047
Produce	430	385	R996	Product	Cust100	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	ProductID:R996considered	Nu	Nu	Nu	4049
ConfirmProduction	450	404	R994	Product	Cust174	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	ProductID:R994confirmed	Nu	Nu	Nu	4045
NewProductRequest	450	404	R994	Product	Cust174	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	ProductID:R994requested	Nu	Nu	Nu	4043
Invoice	421	388	Nu	Invoice	Nu	O500	I500	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	OrderID:O500Processed	Nu	Nu	2680
Invoice	421	388	Nu	Invoice	Nu	O501	I501	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	OrderID:O501Processed	Nu	Nu	2687
Invoice	421	388	Nu	Invoice	Nu	O497	I497	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	OrderID:O497Processed	Nu	Nu	2664
Invoice	421	388	Nu	Invoice	Nu	O498	I498	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	OrderID:O498Processed	Nu	Nu	2671
Invoice	421	388	Nu	Invoice	Nu	O494	I494	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	OrderID:O494Processed	Nu	Nu	2649
Invoice	421	388	Nu	Invoice	Nu	O495	I495	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	OrderID:O495Processed	Nu	Nu	2654
Invoice	421	388	Nu	Invoice	Nu	O496	I496	Nu	Nu	Nu	Nu	Nu	Nu	Nu	Nu	OrderID:O496Processed	Nu	Nu	2659
